week_ending_date,location,location_name,target,target_data_type,value
2020-09-19,20,Kansas,wk inc rsv hosp,hosp,NA
2020-09-19,21,Kentucky,wk inc rsv hosp,hosp,NA
2020-09-19,22,Louisiana,wk inc rsv hosp,hosp,NA
2020-09-19,25,Massachusetts,wk inc rsv hosp,hosp,NA
2020-09-19,24,Maryland,wk inc rsv hosp,hosp,NA
2020-09-19,23,Maine,wk inc rsv hosp,hosp,NA
2020-09-19,26,Michigan,wk inc rsv hosp,hosp,NA
2020-09-19,27,Minnesota,wk inc rsv hosp,hosp,NA
2020-09-19,29,Missouri,wk inc rsv hosp,hosp,NA
2020-09-19,28,Mississippi,wk inc rsv hosp,hosp,NA
2020-09-19,30,Montana,wk inc rsv hosp,hosp,NA
2020-09-19,37,North Carolina,wk inc rsv hosp,hosp,NA
2020-09-19,38,North Dakota,wk inc rsv hosp,hosp,NA
2020-09-19,31,Nebraska,wk inc rsv hosp,hosp,NA
2020-09-19,33,New Hampshire,wk inc rsv hosp,hosp,NA
2020-09-19,34,New Jersey,wk inc rsv hosp,hosp,NA
2020-09-19,35,New Mexico,wk inc rsv hosp,hosp,NA
2020-09-19,32,Nevada,wk inc rsv hosp,hosp,NA
2020-09-19,36,New York,wk inc rsv hosp,hosp,NA
2020-09-19,39,Ohio,wk inc rsv hosp,hosp,NA
2020-09-19,40,Oklahoma,wk inc rsv hosp,hosp,NA
2020-09-19,41,Oregon,wk inc rsv hosp,hosp,NA
2020-09-19,42,Pennsylvania,wk inc rsv hosp,hosp,NA
2020-09-19,72,Puerto Rico,wk inc rsv hosp,hosp,NA
2020-09-19,44,Rhode Island,wk inc rsv hosp,hosp,NA
2020-09-19,45,South Carolina,wk inc rsv hosp,hosp,NA
2020-09-19,46,South Dakota,wk inc rsv hosp,hosp,NA
2020-09-19,47,Tennessee,wk inc rsv hosp,hosp,NA
2020-09-19,48,Texas,wk inc rsv hosp,hosp,NA
2020-09-19,US,United States,wk inc rsv hosp,hosp,NA
2020-09-19,49,Utah,wk inc rsv hosp,hosp,NA
2020-09-19,51,Virginia,wk inc rsv hosp,hosp,NA
2020-09-19,50,Vermont,wk inc rsv hosp,hosp,NA
2020-09-19,53,Washington,wk inc rsv hosp,hosp,NA
2020-09-19,55,Wisconsin,wk inc rsv hosp,hosp,NA
2020-09-19,54,West Virginia,wk inc rsv hosp,hosp,NA
2020-09-19,56,Wyoming,wk inc rsv hosp,hosp,NA
2020-09-26,02,Alaska,wk inc rsv hosp,hosp,NA
2020-09-26,01,Alabama,wk inc rsv hosp,hosp,NA
2020-09-26,05,Arkansas,wk inc rsv hosp,hosp,NA
2020-09-26,04,Arizona,wk inc rsv hosp,hosp,NA
2020-09-26,06,California,wk inc rsv hosp,hosp,NA
2020-09-26,08,Colorado,wk inc rsv hosp,hosp,NA
2020-09-26,09,Connecticut,wk inc rsv hosp,hosp,NA
2020-09-26,11,District of Columbia,wk inc rsv hosp,hosp,NA
2020-09-26,10,Delaware,wk inc rsv hosp,hosp,NA
2020-09-26,12,Florida,wk inc rsv hosp,hosp,NA
2020-09-26,13,Georgia,wk inc rsv hosp,hosp,NA
2020-09-26,15,Hawaii,wk inc rsv hosp,hosp,NA
2020-09-26,19,Iowa,wk inc rsv hosp,hosp,NA
2020-09-26,16,Idaho,wk inc rsv hosp,hosp,NA
2020-09-26,17,Illinois,wk inc rsv hosp,hosp,NA
2020-09-26,18,Indiana,wk inc rsv hosp,hosp,NA
2020-09-26,20,Kansas,wk inc rsv hosp,hosp,NA
2020-09-26,21,Kentucky,wk inc rsv hosp,hosp,NA
2020-09-26,22,Louisiana,wk inc rsv hosp,hosp,NA
2020-09-26,25,Massachusetts,wk inc rsv hosp,hosp,NA
2020-09-26,24,Maryland,wk inc rsv hosp,hosp,NA
2020-09-26,23,Maine,wk inc rsv hosp,hosp,NA
